,syserr,ref_type,ref_scale,deblurr,psd_noise,psd_a,psd_u0,psd_b,psd_c,fwhm,amp,simple,tv,tv2
0,0.02,dime,2.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.1,0.0
1,0.0,quarter1,1.0,True,False,1.0,1.0,1.0,1.0,90,0.1,0.1,0.0,0.1
2,0.05,quarter1,2.0,True,True,0.02,2.0,5.0,2.0,80,1.0,0.01,0.1,0.01
3,0.0,dime,1.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.01,0.01
4,0.02,dime,2.0,True,True,0.015,2.0,5.0,2.0,70,1.0,0.1,1.0,0.1
5,0.02,dime,2.0,True,True,0.015,2.0,3.0,2.0,90,1.0,0.0,0.1,0.0
6,0.05,dime,2.0,True,True,0.02,2.0,3.0,2.0,90,1.0,0.1,0.01,0.0
7,0.0,dime,1.0,True,True,0.015,2.0,3.0,2.0,80,1.0,1.0,0.01,0.1
8,0.0,dime,1.0,True,True,0.02,2.0,1.0,2.0,80,1.0,0.01,0.1,0.01
9,0.05,dime,2.0,True,False,1.0,1.0,1.0,1.0,90,1.0,1.0,1.0,0.0
10,0.05,dime,2.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.01,0.0
11,0.05,quarter1,1.0,True,True,0.025,2.0,2.0,2.0,80,1.0,0.1,0.01,0.01
12,0.05,quarter1,2.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.01,0.01
13,0.0,dime,2.0,True,True,0.015,2.0,5.0,2.0,70,1.0,0.1,1.0,0.0
14,0.0,quarter1,1.0,True,True,0.015,2.0,5.0,2.0,70,1.0,0.1,1.0,0.01
15,0.05,quarter1,2.0,True,True,0.015,2.0,1.0,2.0,80,1.0,0.01,0.1,0.0
16,0.02,quarter1,1.0,True,True,0.02,2.0,5.0,2.0,70,1.0,0.1,0.1,0.1
17,0.0,dime,2.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.1,0.1
18,0.0,dime,2.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.01,0.0
19,0.05,dime,2.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
20,0.0,quarter1,1.0,True,True,0.015,2.0,5.0,2.0,70,1.0,0.0,1.0,0.0
21,0.05,quarter1,2.0,True,True,0.015,2.0,3.0,2.0,80,1.0,0.1,0.01,0.1
22,0.02,quarter1,2.0,True,True,0.015,2.0,2.0,2.0,80,1.0,0.0,0.1,0.0
23,0.02,quarter1,1.0,True,True,0.015,2.0,1.0,2.0,70,1.0,0.1,0.01,0.1
24,0.02,quarter1,1.0,True,True,0.025,2.0,5.0,2.0,80,1.0,0.1,0.1,0.01
25,0.0,dime,2.0,True,True,0.015,2.0,3.0,2.0,90,1.0,0.1,0.01,0.1
26,0.05,quarter1,1.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.01,0.01
27,0.02,quarter1,2.0,True,True,0.015,2.0,3.0,2.0,90,1.0,0.1,0.01,0.1
28,0.05,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.01,0.0
