,Unnamed: 0_x,id,nx,pol,normalized,tint,wint,syserr,l1_lambda,l1_noise,tv_lambda,tsv_lambda,gs_lambda,rt_lambda,ri_lambda,wamp,shift_type,extflux,init_im,init_size,prior_im,prior_size,snrcutoff,lmtcal,lmtfwhm,deblurr,ref_type,ref_scale,psd_noise,psd_a,psd_u0,psd_b,psd_c,brchi2_0.050_60_hops_3598_lo+hi,crchi2_0.050_60_hops_3598_lo+hi,brchi2_0.070_60_hops_3598_lo+hi,crchi2_0.070_60_hops_3598_lo+hi,brchi2_0.100_60_hops_3598_lo+hi,crchi2_0.100_60_hops_3598_lo+hi,brchi2_0.050_60_casa_3598_lo+hi,crchi2_0.050_60_casa_3598_lo+hi,brchi2_0.070_60_casa_3598_lo+hi,crchi2_0.070_60_casa_3598_lo+hi,brchi2_0.100_60_casa_3598_lo+hi,crchi2_0.100_60_casa_3598_lo+hi,brchi2_0.050_60_grmhd_3598_lo+hi,crchi2_0.050_60_grmhd_3598_lo+hi,brchi2_0.070_60_grmhd_3598_lo+hi,crchi2_0.070_60_grmhd_3598_lo+hi,brchi2_0.100_60_grmhd_3598_lo+hi,crchi2_0.100_60_grmhd_3598_lo+hi,2dnxcorr_grmhd_3598_lo+hi,2dnxcinf_grmhd_3598_lo+hi,brchi2_0.050_60_crescent_3598_lo+hi,crchi2_0.050_60_crescent_3598_lo+hi,brchi2_0.070_60_crescent_3598_lo+hi,crchi2_0.070_60_crescent_3598_lo+hi,brchi2_0.100_60_crescent_3598_lo+hi,crchi2_0.100_60_crescent_3598_lo+hi,2dnxcorr_crescent_3598_lo+hi,2dnxcinf_crescent_3598_lo+hi,brchi2_0.050_60_elliptical_disk_3598_lo+hi,crchi2_0.050_60_elliptical_disk_3598_lo+hi,brchi2_0.070_60_elliptical_disk_3598_lo+hi,crchi2_0.070_60_elliptical_disk_3598_lo+hi,brchi2_0.100_60_elliptical_disk_3598_lo+hi,crchi2_0.100_60_elliptical_disk_3598_lo+hi,2dnxcorr_elliptical_disk_3598_lo+hi,2dnxcinf_elliptical_disk_3598_lo+hi,brchi2_0.050_60_ring_3598_lo+hi,crchi2_0.050_60_ring_3598_lo+hi,brchi2_0.070_60_ring_3598_lo+hi,crchi2_0.070_60_ring_3598_lo+hi,brchi2_0.100_60_ring_3598_lo+hi,crchi2_0.100_60_ring_3598_lo+hi,2dnxcorr_ring_3598_lo+hi,2dnxcinf_ring_3598_lo+hi,brchi2_0.050_60_simple_disk_3598_lo+hi,crchi2_0.050_60_simple_disk_3598_lo+hi,brchi2_0.070_60_simple_disk_3598_lo+hi,crchi2_0.070_60_simple_disk_3598_lo+hi,brchi2_0.100_60_simple_disk_3598_lo+hi,crchi2_0.100_60_simple_disk_3598_lo+hi,2dnxcorr_simple_disk_3598_lo+hi,2dnxcinf_simple_disk_3598_lo+hi,brchi2_0.050_60_double_source_3598_lo+hi,crchi2_0.050_60_double_source_3598_lo+hi,brchi2_0.070_60_double_source_3598_lo+hi,crchi2_0.070_60_double_source_3598_lo+hi,brchi2_0.100_60_double_source_3598_lo+hi,crchi2_0.100_60_double_source_3598_lo+hi,2dnxcorr_double_source_3598_lo+hi,2dnxcinf_double_source_3598_lo+hi,brchi2_0.050_60_point_3598_lo+hi,crchi2_0.050_60_point_3598_lo+hi,brchi2_0.070_60_point_3598_lo+hi,crchi2_0.070_60_point_3598_lo+hi,brchi2_0.100_60_point_3598_lo+hi,crchi2_0.100_60_point_3598_lo+hi,2dnxcorr_point_3598_lo+hi,2dnxcinf_point_3598_lo+hi,brchi2_0.050_60_ring+hs_period30_3598_lo+hi,crchi2_0.050_60_ring+hs_period30_3598_lo+hi,brchi2_0.070_60_ring+hs_period30_3598_lo+hi,crchi2_0.070_60_ring+hs_period30_3598_lo+hi,brchi2_0.100_60_ring+hs_period30_3598_lo+hi,crchi2_0.100_60_ring+hs_period30_3598_lo+hi,2dnxcorr_ring+hs_period30_3598_lo+hi,2dnxcinf_ring+hs_period30_3598_lo+hi,Unnamed: 0_y,brchi2_sub_casa_3598_lo+hi,crchi2_sub_casa_3598_lo+hi,brchi2_sub_hops_3598_lo+hi,crchi2_sub_hops_3598_lo+hi
0,13,13,75,PI,True,120,-1,0.0,0.1,0.1,100.0,100.0,-1,-1,-1,1.0,com1,0.0,tophat,70,gaussian,140,0,False,-1,False,none,1.0,True,0.02,2.0,1.0,2.0,2.9666760239715617,1.9548201624316024,2.582982133112502,1.7201245534078546,2.1581099476860994,1.4109846972662026,2.936251718681681,2.408317717222267,2.517883774599156,2.038001056171628,2.076758078893128,1.5971048208887653,5.581254881925198,1.895664377908965,4.325762755032218,1.6759768392673604,3.2158488110794994,1.3859636035936072,0.680954293240844,0.738731474320895,3.638430403738461,4.087275067322768,3.163714827156026,3.3970781448016787,2.59586779902178,2.6126394659350174,0.9377557071944956,0.9422435389871904,3.139656534578071,1.6614588930341738,2.705978582223097,1.5266424357237849,2.228487981600662,1.3178313920580684,0.9719749586056674,0.9732827222457382,4.2285605552561805,2.547942737671941,3.778528518484292,2.167096018247761,3.222121680462872,1.761292461821161,0.9437352073160636,0.9483060078781306,2.530914946719434,1.965193548148978,2.1957151221948763,1.7771279789454784,1.877655175150239,1.5114742889575103,0.9612093036989474,0.964661737806354,3.616067776124535,2.7093814685815336,3.265234998495936,2.44166992909564,2.842125112254577,2.0698374038192826,0.9294943989334514,0.9345213183082808,2.8311371211703,3.0446582236104427,2.507826948296242,2.614553091534419,2.1568302270595296,2.1069950048529136,0.8964792416350307,0.9156787486918088,5.060162381227584,2.8196662327310618,4.556567067486862,2.494873665113716,3.878462356459183,2.0772962811374858,0.90287998819048,0.9156992262733404,128,0.2377510152467159,0.198077040343954,0.2969865115944373,0.2871229808403792
1,138,138,75,PI,True,120,-1,0.0,0.1,0.1,100.0,100.0,-1,-1,-1,1.0,com1,0.0,tophat,70,gaussian,160,0,False,-1,False,none,1.0,True,0.02,2.0,1.0,2.0,2.972124618873793,2.7410748352928445,2.554415725094855,2.349894691293509,2.110826662711061,1.8793422840845608,2.59192337749886,2.351978758962648,2.2518045182253275,2.0129907630251087,1.879104370634531,1.5983740162423723,5.421896503543027,1.9183806742839835,4.201194126515525,1.6851741532431257,3.1199425831538004,1.380661653560612,0.5728857141464755,0.6566376685966817,3.800366940735028,3.856064500358245,3.3016049638241185,3.219110278161507,2.702306150444021,2.4892247863476773,0.9307014361046224,0.935615412343074,3.146688672806296,1.6832667952529476,2.71081277190031,1.54635690757736,2.2316285974341805,1.3344486664778796,0.9716686491306916,0.9727794676426528,4.318330310287062,2.6306595127396672,3.859569511043972,2.2215444917412297,3.288373894009774,1.7895982655143734,0.9484231345555492,0.9520914942209776,2.558893111151922,1.7728939986695045,2.2218974424379203,1.601529397654884,1.8984915514913607,1.3616025050217353,0.96001448082587,0.9632379838503756,4.320852230681613,2.637122237293561,3.83976811760926,2.3055920924863225,3.2627553402363194,1.8792013837583532,0.8926656302895295,0.9029938247361676,2.8923406069642925,2.896755763693737,2.558980382864178,2.495685270122458,2.196244392926431,2.0208951522602407,0.8990315860465452,0.918300208739332,4.972395785458327,3.4161313292919537,4.480559840567838,2.992676797754291,3.821413529718277,2.4584155310536144,0.91286617551048,0.9242905377071036,42,0.2591373262006275,0.2219595415440386,0.273132610449838,0.2900237100644685
2,259,259,75,PI,True,120,-1,0.0,0.1,0.1,100.0,100.0,-1,-1,-1,1.0,com1,0.0,tophat,70,gaussian,180,0,False,-1,False,none,1.0,True,0.02,1.0,1.0,2.0,3.921837522450413,2.335803876550423,3.24284578063138,1.9989572153985131,2.5624338223834795,1.5874599477906048,4.011981928588855,2.010081102498331,3.3236165951739443,1.693070989287213,2.6343336650209577,1.321809936302656,5.2675990895781695,1.914664804696052,4.089959461323901,1.6804320215842272,3.047576626923526,1.3747796200548723,0.5528683290136236,0.641238524931656,3.7092174427974265,3.249407902927097,3.218004286038158,2.71269453454245,2.6313821523391665,2.107791344586516,0.9540826211909434,0.9568185109495724,3.161270421245864,1.6688598646167492,2.7230533094985154,1.532681625526067,2.241330579694485,1.32201298548068,0.9704556110435084,0.9714004707042266,4.335648609698904,2.683304947639654,3.871156775508164,2.2615653095467114,3.2935654889630777,1.8162854651746243,0.9467034591498692,0.9502255534839704,2.6345791461514447,1.737323745684229,2.280747816107884,1.5740600023618423,1.9399764051564845,1.3453716626602303,0.9402312878287586,0.9461836994250687,3.319388943107074,3.6992910132223535,2.9403484535589373,3.200233480375821,2.51280031988067,2.560326993681074,0.8930612169226636,0.9029611799347084,2.794417798125917,2.9415075309398597,2.474249754657119,2.529198385955587,2.1306337306913004,2.0430829620458946,0.9068628817080246,0.9250322490139103,5.113607039722206,3.1709376531166216,4.606803445494093,2.803973257933172,3.923216711328744,2.326698722216297,0.9020319149516904,0.9148317515801194,56,0.244835561039288,0.2439546368925827,0.3052679571707697,0.2484281090778982
3,263,263,75,PI,True,120,-1,0.0,0.1,0.1,100.0,100.0,-1,-1,-1,1.0,com1,0.0,tophat,70,gaussian,180,0,False,-1,False,none,1.0,True,0.02,2.0,1.0,2.0,2.796795382570864,2.644973425118873,2.400071534100739,2.3132902549518266,1.9798092739986228,1.8746998299921185,4.8960991358805,2.0626838864051678,4.186079533261959,1.743363102737968,3.4309362490230995,1.366554450279568,5.541431658516215,2.19864100303973,4.276234269110302,1.960610277174006,3.17511368021849,1.6392668590893176,0.6067820552712401,0.686196414991916,3.9835751357845006,3.669662568200138,3.4524772981543683,3.0692970753878988,2.813821526737669,2.380783224946072,0.9205217413995636,0.926280918806568,3.1667635905921734,1.682964300636578,2.72768012547998,1.5458695359642634,2.245015797115183,1.333743114408872,0.970756944984688,0.9717471161009767,4.2979683187420274,2.688134251264431,3.836151707074348,2.2785746401334,3.2665142421575224,1.8446973439248864,0.9405913109211292,0.9450960007581418,2.632874630449439,1.7617507206909688,2.283268324454504,1.592650922994081,1.9442252084895368,1.357321813799867,0.9455381124778036,0.9506337930432122,3.3734315446210505,3.4830327910178847,2.996538596499485,3.0396839524194843,2.569892233873916,2.464689869089825,0.906091116732376,0.9142648450579222,2.8400482489307373,2.9374834766195588,2.512748584783194,2.525725671809849,2.1602228925948794,2.040515561115589,0.9067288934620684,0.9249376601524386,5.063387981248524,3.2996556110528728,4.561442853276708,2.9206423565149846,3.8849986999803687,2.423918904321407,0.901755039654709,0.9145768868562612,88,0.3178707279636746,0.2053782289631424,0.2524992286605295,0.2815690436939901
4,384,384,75,PI,True,120,-1,0.0,0.1,0.1,100.0,1000.0,-1,-1,-1,1.0,com1,0.0,tophat,70,gaussian,140,0,False,-1,False,none,1.0,True,0.02,1.0,1.0,2.0,3.7572806321992274,2.114755550331724,3.0958489504668263,1.8185971656592963,2.421231768493999,1.4557735987630416,2.4371335108417527,2.191164360616526,2.1430451892982,1.883108181739408,1.830036030447707,1.506249524364667,5.223549430363873,1.895003961295544,4.024057908033841,1.688138537489188,2.985643535251252,1.4093606031741066,0.681687943681005,0.7475412200921252,3.5149660536304554,3.622431613799326,3.0651721877788862,3.030000043250042,2.524514226770872,2.349052575580747,0.9298232070797317,0.9332453773001882,3.052005834471616,1.7508394766585187,2.6282039966665223,1.6098458730299543,2.1640965497818985,1.3912908928824153,0.9711408446006784,0.9708683010971958,3.9823198563266833,2.314338316485953,3.552072891523665,1.9895137473685665,3.031012507566972,1.6359051637022306,0.9474986982962011,0.9497121693659344,2.624204516839729,1.7840609406320271,2.2694415886323087,1.6161824088935397,1.93167279123081,1.3797999276684465,0.9651025870631827,0.9658184112790408,3.338428883748921,2.2105881412001915,2.9938474857881805,1.9809940731482445,2.599113994126701,1.6638665407160314,0.8869275756012233,0.896299467578166,2.776355817599926,3.555002650837577,2.459843015370492,3.025815214030376,2.1164899902795096,2.408071025918495,0.896076458584469,0.9167851452047476,4.780001724590659,2.5779642654351806,4.310942683363674,2.281769317168407,3.681616693870703,1.906648498712544,0.9108049357489544,0.9211259866669688,72,0.2684575190364936,0.212912335477324,0.2660486978181755,0.2684637484953446
5,509,509,75,PI,True,120,-1,0.0,0.1,0.1,100.0,1000.0,-1,-1,-1,1.0,com1,0.0,tophat,70,gaussian,160,0,False,-1,False,none,1.0,True,0.02,1.0,1.0,2.0,3.305041790777492,2.107558084310428,2.797120402302413,1.815210668775592,2.2831354609691807,1.456589957763955,2.323370652978009,2.303847080489505,2.0330792210956163,1.9828912042717215,1.729770064785432,1.5889656801169432,5.290362644179065,1.9232828329909784,4.074261717559659,1.7120545621343553,3.018165174848485,1.4290958266603382,0.6894370249104254,0.7569554442356369,3.5725301980722866,3.296100860173261,3.111043782456778,2.7665302622921915,2.5568582232193395,2.1578168342455646,0.9096014404863034,0.9142110039122928,3.057136462027296,1.7622654863678704,2.6324101123402084,1.6201964766674335,2.167131581368817,1.399973070090273,0.9680641525361572,0.9674023248338934,4.001726065987166,2.3663775714694864,3.569660894868317,2.028828178280366,3.045742713381291,1.6633647662669586,0.9447132983643978,0.9467187281629444,2.5895791991553065,1.8325164964947496,2.24468337556265,1.6572003795745311,1.9145542198894172,1.4118832781745874,0.9540175174352384,0.9546324192445316,3.4732696505397493,2.5732228887721464,3.127131926613348,2.287730061497625,2.71970290802863,1.9017045562879955,0.8931632572033801,0.9011601617412496,2.71747267712977,3.457209138190453,2.4076339821719714,2.947997049692097,2.074004768740652,2.351900283612538,0.8949127820253188,0.9158803699933482,4.819466587906707,2.68486723121932,4.345546299469303,2.370974188066461,3.708263109411642,1.976994857348249,0.9433041140065668,0.9479426457646986,286,0.2546177243249553,0.2073387055685507,0.3101831464026102,0.2557475495024175
6,513,513,75,PI,True,120,-1,0.0,0.1,0.1,100.0,1000.0,-1,-1,-1,1.0,com1,0.0,tophat,70,gaussian,160,0,False,-1,False,none,1.0,True,0.02,2.0,1.0,2.0,2.313452855259684,2.163938961482986,1.9924910133669111,1.8677767168928407,1.6656274459845055,1.503679717040782,2.3670665379334155,2.2715300602271564,2.0743476638720195,1.954332984198956,1.767183188540584,1.565782291037778,5.2996352137784815,1.923982120560609,4.077685538950126,1.7128371813408405,3.017314479621529,1.4299381547387735,0.6955459133646859,0.7616550382432747,3.5727091978509224,3.320386301513517,3.1113015755650686,2.787323192191847,2.557234523218207,2.1742072277200464,0.9096154556452136,0.91432679311577,3.0576426920333244,1.787922408098295,2.6326903181972567,1.6441116749978095,2.1672281968538547,1.4211551980164518,0.968521035962409,0.9678966862801128,4.047742176528193,2.358947134053317,3.61011505534993,2.0260691212104045,3.079024537834461,1.6642499494992558,0.9442169268836584,0.9462277595274232,2.579004514384597,1.8255341829334597,2.235387621707332,1.65018992458896,1.906867922880839,1.4051197710201897,0.9576886782819636,0.9581180945821466,3.224709759207834,2.2794300594843198,2.9031201545464085,2.039971202567257,2.536189155467864,1.7087338794379503,0.8881962565957826,0.8971578455540232,2.7691186431267982,3.4709221736736358,2.4524448488985637,2.957567288161476,2.110191552509846,2.357721757038177,0.8952580559289898,0.9161519520343924,4.790307180773649,2.59032603829036,4.32060251258152,2.2917206527162333,3.690127371207837,1.913863000682299,0.9054477385449138,0.9161155430498272,123,0.2481347195571584,0.200819644945988,0.260073402638514,0.2256883433078012
7,2021,2021,75,PI,True,120,-1,0.0,0.1,0.1,1000.0,1000.0,-1,-1,-1,1.0,com1,0.0,tophat,70,gaussian,160,0,False,-1,False,none,1.0,True,0.025,2.0,1.0,2.0,2.906688337534482,2.502691176997748,2.522556942182133,2.1610432527171697,2.103606770750724,1.7413331205882034,2.636312906400313,2.628593285189686,2.2594287400214244,2.2455514195501776,1.8842014737527253,1.7805605163839069,5.452687090261335,2.239958380720769,4.207572504014906,1.980683877136327,3.121802805012417,1.640526787774654,0.6824174173529949,0.750642691472657,3.553350236572302,3.5847041333719702,3.085607091216514,2.996487881068881,2.533992416176896,2.3324421253600423,0.933304238267064,0.9324536591985448,3.2002221083272,1.8944629758925569,2.7347595593462146,1.7477983263256598,2.243801184271543,1.5182496025629113,0.961370296787278,0.9600200897425296,3.991281605757619,2.479932802432081,3.544883752604505,2.1133619547625884,3.0089311174104068,1.7158547687146546,0.930298771698534,0.9326429808602268,2.5744705094241973,1.8735762661825528,2.2338789855146257,1.6935446610952174,1.9082315512889667,1.441124914873342,0.9650263013479448,0.9631753525092136,3.3964118869762583,2.603537816930485,3.050653207558442,2.3094339080866995,2.650336284098876,1.9145565380454943,0.8919854032429615,0.8993032543210233,2.858484805804195,3.4067131966782758,2.5207817339485783,2.895640518854181,2.161460945540617,2.304621761280919,0.8909597103490794,0.9123608750972192,4.737537997318274,2.5240027614633918,4.270265392190021,2.243763768386574,3.644568863201467,1.884636970165044,0.904385892669154,0.9134121509948192,62,0.1788807443729555,0.1286577868822066,0.1883879455148168,0.149784622944902
8,18013,18013,75,PI,True,120,-1,0.02,0.1,0.1,100.0,100.0,-1,-1,-1,1.0,com1,0.0,tophat,70,gaussian,140,0,False,-1,False,none,1.0,True,0.02,2.0,1.0,2.0,2.928239323710935,1.9502216524975244,2.5459072117860275,1.7130644628097644,2.124100803454408,1.4020085592487106,3.821553348523604,1.9457611634161016,3.3034203964950515,1.6809070658807712,2.713529315288102,1.349151147407048,5.57141043506393,1.8771409164410973,4.317409091326883,1.6579540469130036,3.207834684848458,1.36904604373043,0.6813614726293652,0.7388473716595289,3.6404934706703016,4.046067162158747,3.1656069771954183,3.3634981116468534,2.59746806445864,2.58759419622671,0.9386436119115558,0.9430272943124516,3.139360653484219,1.656659797749653,2.705027127692072,1.5227482490309994,2.22707377873348,1.3152908986098333,0.9732367346556522,0.9743587290065964,4.206405209360045,2.526891990978624,3.7562064736389,2.149470875801105,3.2016823088187008,1.747542046591954,0.9454178823658952,0.9497527037709512,2.526788352531645,1.95320588944018,2.192588944081548,1.766385035190009,1.8753925027863776,1.5023493032607018,0.96138027427128,0.964789995736202,4.247607694866197,2.65294095019871,3.7665538968312298,2.329367543534281,3.192881949487324,1.908110937063981,0.8983562402796152,0.9080401970537256,2.831433647477723,3.057380396503572,2.507577793649055,2.6251053255200745,2.15607439290752,2.1150380261361903,0.8961516777548566,0.9153920919433278,4.882485944164682,3.236498875882268,4.40322538617674,2.840125475664706,3.760367725195496,2.339568148768503,0.9120090984566092,0.923622737180379,173,0.2570342513355451,0.2148911576443224,0.2931732349395987,0.2879075579535571
9,18259,18259,75,PI,True,120,-1,0.02,0.1,0.1,100.0,100.0,-1,-1,-1,1.0,com1,0.0,tophat,70,gaussian,180,0,False,-1,False,none,1.0,True,0.02,1.0,1.0,2.0,3.957492889884427,2.315207547154538,3.2723462864684403,1.983972115719088,2.5841944956768894,1.5782786121100802,2.3735956534537035,1.9547707219167645,2.0472235708283866,1.661896683788899,1.7112947308226965,1.3132457745120392,5.2466653152743765,1.8854694786436343,4.069777388936743,1.6563966009059576,3.0292569797125526,1.3567746029890395,0.5541125800660337,0.6421033081084702,3.707517692380456,3.248811903360568,3.2164192877965507,2.7128277748485794,2.630058212611964,2.1086366069667397,0.954150041501286,0.9568751308642324,3.1656557540732053,1.6648201758039498,2.7268892617645024,1.5292510614289618,2.244515860254859,1.319502113196503,0.9704751772903274,0.9713840964301264,4.360361922155276,2.6466620602794,3.8877068150247984,2.23124687973307,3.3021856764591995,1.793317454704338,0.9439374775011264,0.9478748900702048,2.6433789492898323,1.7448942892838686,2.28586550639849,1.5810011670395028,1.942761521196167,1.3514031766338384,0.9397776293008338,0.945658762509675,4.144712132650063,4.98922245754112,3.7365798632145766,4.341666522662474,3.236187349868197,3.493730725140718,0.9226910896508338,0.9284956364706826,2.783102706078025,2.936880573647149,2.46442451575294,2.524441239974868,2.122483347555413,2.0384365775318254,0.9056670461295634,0.9240189094338735,5.110240121007275,3.1225624706149198,4.603525926835465,2.765191744825075,3.920319165863048,2.298688709131292,0.9024336179659788,0.9152107512973328,15,0.2513743637027729,0.2339662897547163,0.3044112924094466,0.2460046323002444
