,ref_type,ref_scale,deblurr,variance_img_diff,powerDropoff,covfrac,amp,logcamp
0,dime,1,True,0.0005,3.0,0.33,0.1,0.0
1,dime,1,True,0.0005,3.0,0.33,0.1,0.5
2,dime,1,True,0.0005,3.0,0.33,0.1,1.0
3,dime,1,True,0.0005,3.0,0.33,0.5,0.0
4,dime,1,True,0.0005,3.0,0.33,0.5,0.5
5,dime,1,True,0.0005,3.0,0.33,0.5,1.0
6,dime,1,True,0.0005,3.0,0.33,1.0,0.0
7,dime,1,True,0.0005,3.0,0.33,1.0,0.5
8,dime,1,True,0.0005,3.0,0.33,1.0,1.0
9,dime,1,True,0.0005,3.0,0.5,0.1,0.0
10,dime,1,True,0.0005,3.0,0.5,0.1,0.5
11,dime,1,True,0.0005,3.0,0.5,0.1,1.0
12,dime,1,True,0.0005,3.0,0.5,0.5,0.0
13,dime,1,True,0.0005,3.0,0.5,0.5,0.5
14,dime,1,True,0.0005,3.0,0.5,0.5,1.0
15,dime,1,True,0.0005,3.0,0.5,1.0,0.0
16,dime,1,True,0.0005,3.0,0.5,1.0,0.5
17,dime,1,True,0.0005,3.0,0.5,1.0,1.0
18,dime,1,True,0.0005,4.0,0.33,0.1,0.0
19,dime,1,True,0.0005,4.0,0.33,0.1,0.5
20,dime,1,True,0.0005,4.0,0.33,0.1,1.0
21,dime,1,True,0.0005,4.0,0.33,0.5,0.0
22,dime,1,True,0.0005,4.0,0.33,0.5,0.5
23,dime,1,True,0.0005,4.0,0.33,0.5,1.0
24,dime,1,True,0.0005,4.0,0.33,1.0,0.0
25,dime,1,True,0.0005,4.0,0.33,1.0,0.5
26,dime,1,True,0.0005,4.0,0.33,1.0,1.0
27,dime,1,True,0.0005,4.0,0.5,0.1,0.0
28,dime,1,True,0.0005,4.0,0.5,0.1,0.5
29,dime,1,True,0.0005,4.0,0.5,0.1,1.0
30,dime,1,True,0.0005,4.0,0.5,0.5,0.0
31,dime,1,True,0.0005,4.0,0.5,0.5,0.5
32,dime,1,True,0.0005,4.0,0.5,0.5,1.0
33,dime,1,True,0.0005,4.0,0.5,1.0,0.0
34,dime,1,True,0.0005,4.0,0.5,1.0,0.5
35,dime,1,True,0.0005,4.0,0.5,1.0,1.0
36,dime,1,True,0.0005,5.0,0.33,0.1,0.0
37,dime,1,True,0.0005,5.0,0.33,0.1,0.5
38,dime,1,True,0.0005,5.0,0.33,0.1,1.0
39,dime,1,True,0.0005,5.0,0.33,0.5,0.0
40,dime,1,True,0.0005,5.0,0.33,0.5,0.5
41,dime,1,True,0.0005,5.0,0.33,0.5,1.0
42,dime,1,True,0.0005,5.0,0.33,1.0,0.0
43,dime,1,True,0.0005,5.0,0.33,1.0,0.5
44,dime,1,True,0.0005,5.0,0.33,1.0,1.0
45,dime,1,True,0.0005,5.0,0.5,0.1,0.0
46,dime,1,True,0.0005,5.0,0.5,0.1,0.5
47,dime,1,True,0.0005,5.0,0.5,0.1,1.0
48,dime,1,True,0.0005,5.0,0.5,0.5,0.0
49,dime,1,True,0.0005,5.0,0.5,0.5,0.5
50,dime,1,True,0.0005,5.0,0.5,0.5,1.0
51,dime,1,True,0.0005,5.0,0.5,1.0,0.0
52,dime,1,True,0.0005,5.0,0.5,1.0,0.5
53,dime,1,True,0.0005,5.0,0.5,1.0,1.0
54,dime,1,True,5e-06,3.0,0.33,0.1,0.0
55,dime,1,True,5e-06,3.0,0.33,0.1,0.5
56,dime,1,True,5e-06,3.0,0.33,0.1,1.0
57,dime,1,True,5e-06,3.0,0.33,0.5,0.0
58,dime,1,True,5e-06,3.0,0.33,0.5,0.5
59,dime,1,True,5e-06,3.0,0.33,0.5,1.0
60,dime,1,True,5e-06,3.0,0.33,1.0,0.0
61,dime,1,True,5e-06,3.0,0.33,1.0,0.5
62,dime,1,True,5e-06,3.0,0.33,1.0,1.0
63,dime,1,True,5e-06,3.0,0.5,0.1,0.0
64,dime,1,True,5e-06,3.0,0.5,0.1,0.5
65,dime,1,True,5e-06,3.0,0.5,0.1,1.0
66,dime,1,True,5e-06,3.0,0.5,0.5,0.0
67,dime,1,True,5e-06,3.0,0.5,0.5,0.5
68,dime,1,True,5e-06,3.0,0.5,0.5,1.0
69,dime,1,True,5e-06,3.0,0.5,1.0,0.0
70,dime,1,True,5e-06,3.0,0.5,1.0,0.5
71,dime,1,True,5e-06,3.0,0.5,1.0,1.0
72,dime,1,True,5e-06,4.0,0.33,0.1,0.0
73,dime,1,True,5e-06,4.0,0.33,0.1,0.5
74,dime,1,True,5e-06,4.0,0.33,0.1,1.0
75,dime,1,True,5e-06,4.0,0.33,0.5,0.0
76,dime,1,True,5e-06,4.0,0.33,0.5,0.5
77,dime,1,True,5e-06,4.0,0.33,0.5,1.0
78,dime,1,True,5e-06,4.0,0.33,1.0,0.0
79,dime,1,True,5e-06,4.0,0.33,1.0,0.5
80,dime,1,True,5e-06,4.0,0.33,1.0,1.0
81,dime,1,True,5e-06,4.0,0.5,0.1,0.0
82,dime,1,True,5e-06,4.0,0.5,0.1,0.5
83,dime,1,True,5e-06,4.0,0.5,0.1,1.0
84,dime,1,True,5e-06,4.0,0.5,0.5,0.0
85,dime,1,True,5e-06,4.0,0.5,0.5,0.5
86,dime,1,True,5e-06,4.0,0.5,0.5,1.0
87,dime,1,True,5e-06,4.0,0.5,1.0,0.0
88,dime,1,True,5e-06,4.0,0.5,1.0,0.5
89,dime,1,True,5e-06,4.0,0.5,1.0,1.0
90,dime,1,True,5e-06,5.0,0.33,0.1,0.0
91,dime,1,True,5e-06,5.0,0.33,0.1,0.5
92,dime,1,True,5e-06,5.0,0.33,0.1,1.0
93,dime,1,True,5e-06,5.0,0.33,0.5,0.0
94,dime,1,True,5e-06,5.0,0.33,0.5,0.5
95,dime,1,True,5e-06,5.0,0.33,0.5,1.0
96,dime,1,True,5e-06,5.0,0.33,1.0,0.0
97,dime,1,True,5e-06,5.0,0.33,1.0,0.5
98,dime,1,True,5e-06,5.0,0.33,1.0,1.0
99,dime,1,True,5e-06,5.0,0.5,0.1,0.0
100,dime,1,True,5e-06,5.0,0.5,0.1,0.5
101,dime,1,True,5e-06,5.0,0.5,0.1,1.0
102,dime,1,True,5e-06,5.0,0.5,0.5,0.0
103,dime,1,True,5e-06,5.0,0.5,0.5,0.5
104,dime,1,True,5e-06,5.0,0.5,0.5,1.0
105,dime,1,True,5e-06,5.0,0.5,1.0,0.0
106,dime,1,True,5e-06,5.0,0.5,1.0,0.5
107,dime,1,True,5e-06,5.0,0.5,1.0,1.0
108,dime,1,True,5e-08,3.0,0.33,0.1,0.0
109,dime,1,True,5e-08,3.0,0.33,0.1,0.5
110,dime,1,True,5e-08,3.0,0.33,0.1,1.0
111,dime,1,True,5e-08,3.0,0.33,0.5,0.0
112,dime,1,True,5e-08,3.0,0.33,0.5,0.5
113,dime,1,True,5e-08,3.0,0.33,0.5,1.0
114,dime,1,True,5e-08,3.0,0.33,1.0,0.0
115,dime,1,True,5e-08,3.0,0.33,1.0,0.5
116,dime,1,True,5e-08,3.0,0.33,1.0,1.0
117,dime,1,True,5e-08,3.0,0.5,0.1,0.0
118,dime,1,True,5e-08,3.0,0.5,0.1,0.5
119,dime,1,True,5e-08,3.0,0.5,0.1,1.0
120,dime,1,True,5e-08,3.0,0.5,0.5,0.0
121,dime,1,True,5e-08,3.0,0.5,0.5,0.5
122,dime,1,True,5e-08,3.0,0.5,0.5,1.0
123,dime,1,True,5e-08,3.0,0.5,1.0,0.0
124,dime,1,True,5e-08,3.0,0.5,1.0,0.5
125,dime,1,True,5e-08,3.0,0.5,1.0,1.0
126,dime,1,True,5e-08,4.0,0.33,0.1,0.0
127,dime,1,True,5e-08,4.0,0.33,0.1,0.5
128,dime,1,True,5e-08,4.0,0.33,0.1,1.0
129,dime,1,True,5e-08,4.0,0.33,0.5,0.0
130,dime,1,True,5e-08,4.0,0.33,0.5,0.5
131,dime,1,True,5e-08,4.0,0.33,0.5,1.0
132,dime,1,True,5e-08,4.0,0.33,1.0,0.0
133,dime,1,True,5e-08,4.0,0.33,1.0,0.5
134,dime,1,True,5e-08,4.0,0.33,1.0,1.0
135,dime,1,True,5e-08,4.0,0.5,0.1,0.0
136,dime,1,True,5e-08,4.0,0.5,0.1,0.5
137,dime,1,True,5e-08,4.0,0.5,0.1,1.0
138,dime,1,True,5e-08,4.0,0.5,0.5,0.0
